168.51,4654
170.88,2583
170.93,2207
171.08,2385
170.83,1704
170.78,1900
171.14,2058
171.31,2419
170.64,2223
171.07,4206
171.83,3536
172.39,2586
172.42,7558
172.26,2172
172.1,2493
171.51,1860
171.97,1936
171.92,1234
171.85,927
172.28,1484
172.26,1317
172.2,844
172.32,1642
172.9,1742
172.99,3374
172.5,2348
172.28,1100
171.39,2206
170.51,1400
171.09,1853
171.17,500
171.58,900
172.22,3823
172.19,3730
172.01,1647
172.25,1866
172.21,901
172.5,1638
172.69,3880
172.28,1670
171.16,2900
171.24,3202
170.82,1606
170.74,1100
170.51,2420
170.91,3400
171.05,4173
171.24,3841
171.22,2000
171.06,3540
170.83,3000
170.88,4877
168.73,2100
167.88,1435
167.08,1800
166.98,1408
167.62,1100
167.67,1100
168.03,400
168.43,533
168.51,600
168.58,1200
168.43,600
168,700
168.78,3684
169.58,1128
169.52,2400
169.16,1100
169.57,1300
169.65,3557
170.32,2618
169.83,1640
169.8,833
170.1,2200
169.8,1500
169.84,3400
169.69,2900
170.37,8047
171.04,2657
171.6,2862
171.05,1989
171.3,2569
170.87,3130
170.24,2129
169.8,2218
169.73,1372
169.98,2357
170,1763
170.35,3743
170.49,6182
170.74,12698
171.07,2167
170.41,5783
170.17,4020
170.3,2855
170.07,1433
170.13,400
170.32,200
170.19,800
170.24,400
170.17,1900
170.59,1700
170.73,700
170.82,2480
170.6,1000
170.94,1684
170.48,1809
170.47,1357
170.36,1313
170.53,1303
170.65,1301
170.64,10473
170.4,3889
170.04,2769
170.04,3690
169.98,5150
169.65,10582
170.32,1500
168.98,400
169.14,1200
169.62,1300
169.64,400
170.08,200
169.85,100
169.69,200
169.62,513
169.27,100
169.41,700
169.4,700
170.01,2739
171.36,2246
171.96,1100
170.85,1000
170.73,2176
170.82,1960
171.18,835
171.14,1000
170.78,400
170.76,300
170.83,1185
171.13,1200
171.22,500
171.26,4275
171.44,2705
171.38,2034
171.21,1895
171.43,1200
171.39,700
171.33,600
171.52,900
171.24,500
171.26,2239
171.34,426
171.12,1901
171.11,5440
170.46,8638
171.86,2738
171.28,1515
171.53,1003
171.19,1004
171,300
171.15,414
170.8,2213
170.81,1156
170.29,400
170.58,500
170.83,300
170.86,400
170.58,3622
170.21,1800
170.6,1899
170.94,1600
171.02,3007
171.48,1004
171.22,800
171.02,300
171.13,4463
170.88,8044
170.82,7354
170.95,18592
171.41,8806
171.67,16692
171.68,800
170.88,933
171.19,300
171.57,1715
172.37,1500
172.33,1233
171.82,1000
171.75,2199
171.84,1400
171.77,2345
171.6,2000
171.35,4000
171.39,10341
171.73,1554
172.66,920
172.83,1120
173.72,6000
173.72,942
173.41,700
173.6,1200
173.97,600
173.77,1004
173.88,1000
173.9,100
173.92,1026
173.69,7583
174.41,7400
173.66,3437
172.37,2324
171.91,1600
171.71,890
171.6,1246
171.72,1200
171.83,2220
171.57,1803
171.64,2605
171.82,804
172.04,4757
172.39,12302
172.05,1565
172.69,4902
173.01,1755
173.47,4283
172.67,2325
173.17,1104
173.28,1730
173.3,1867
173.4,1100
173.23,1600
173.34,400
173.42,1604
173.21,3325
172.06,1900
172.37,800
173.14,600
173.44,2320
173.55,400
173.41,940
173.41,700
172.87,500
172.7,700
172.58,1100
172.73,909
172.79,1600
172.63,2534
173.44,1100
172.47,1413
172.52,800
172.24,300
172.31,700
172.25,600
172.45,988
172.55,1456
172.24,1300
172.11,200
171.95,600
171.88,400
172.13,1852
172.51,1000
172.04,1630
171.71,400
171.79,200
172.04,400
172.12,600
171.77,1100
172.17,3008
172.15,200
172.22,1300
172.22,600
172.17,800
171.93,4786
171.81,3817
171,2209
170.97,1341
171.22,2746
170.68,1693
170.51,944
170.71,804
170.47,1093
170.34,1272
170.39,2943
170.85,2809
170.95,2440
171.03,8735
172.15,11522
172.52,6028
172.99,5646
172.47,2457
172.52,2244
172.72,2098
172.95,1813
172.81,4366
172.88,1662
173.2,2151
173.12,4850
173.34,5047
173.1,9771
172.83,557
172.26,388
172.27,606
172.48,1776
172.66,651
172.89,889
172.28,536
172.3,1304
171.99,1332
171.34,2288
171.19,2265
171.62,1135
171.28,4032
171.55,1079
170.5,856
169.84,1274
