2026-01-22T14:3,443.81,21715
2026-01-22T14:4,445.2,14802
2026-01-22T14:5,444.86,10872
2026-01-22T15:0,444.275,9304
2026-01-22T15:1,444.5,1749
2026-01-22T15:2,445.16,5046
2026-01-22T15:3,446.12,5001
2026-01-22T15:4,446.7,6393
2026-01-22T15:5,447.01,6981
2026-01-22T16:0,448.01,4512
2026-01-22T16:1,447.81,3752
2026-01-22T16:2,448.36,8434
2026-01-22T16:3,448.14,2336
2026-01-22T16:4,448.67,3540
2026-01-22T16:5,448.66,2037
2026-01-22T17:0,448.49,3581
2026-01-22T17:1,448.31,2500
2026-01-22T17:2,448.69,6238
2026-01-22T17:3,449.49,5696
2026-01-22T17:4,449.74,6363
2026-01-22T17:5,450.68,2729
2026-01-22T18:0,450.515,4261
2026-01-22T18:1,451.5,2923
2026-01-22T18:2,451.46,1788
2026-01-22T18:3,451.23,3053
2026-01-22T18:4,451.525,3329
2026-01-22T18:5,451.805,2591
2026-01-22T19:0,451.88,4267
2026-01-22T19:1,452.24,5441
2026-01-22T19:2,452.36,5259
2026-01-22T19:3,451.85,2388
2026-01-22T19:4,451.89,1955
2026-01-22T19:5,451.095,4711
2026-01-22T20:0,451.5,4645
2026-01-22T20:1,452.43,7045
2026-01-22T20:2,452.85,7100
2026-01-22T20:3,452.74,7191
2026-01-22T20:4,452.235,8790
2026-01-22T20:5,452.34,14907
2026-01-23T14:3,454.04,17915
2026-01-23T14:4,454.52,10576
2026-01-23T14:5,455.35,13038
2026-01-23T15:0,454.43,11634
2026-01-23T15:1,455.49,11838
2026-01-23T15:2,454.95,7955
2026-01-23T15:3,454.67,9167
2026-01-23T15:4,455.54,23519
2026-01-23T15:5,455.945,7659
2026-01-23T16:0,456.04,7301
2026-01-23T16:1,457.27,5980
2026-01-23T16:2,457.69,6234
2026-01-23T16:3,458.27,4264
2026-01-23T16:4,457.95,6206
2026-01-23T16:5,457.7,4807
2026-01-23T17:0,457.86,6129
2026-01-23T17:1,458.2,8493
2026-01-23T17:2,458.43,7314
2026-01-23T17:3,458.13,7173
2026-01-23T17:4,458.54,7072
2026-01-23T17:5,458.23,8451
2026-01-23T18:0,456.825,9166
2026-01-23T18:1,457.41,5172
2026-01-23T18:2,457.86,6598
2026-01-23T18:3,457.63,4588
2026-01-23T18:4,457.06,10214
2026-01-23T18:5,455.82,8138
2026-01-23T19:0,456.75,5728
2026-01-23T19:1,457.18,3191
2026-01-23T19:2,457.65,5628
2026-01-23T19:3,457.57,6742
2026-01-23T19:4,457.36,10149
2026-01-23T19:5,458.12,12714
2026-01-23T20:0,458.24,8378
2026-01-23T20:1,457.75,9550
2026-01-23T20:2,457.895,8300
2026-01-23T20:3,457.935,7666
2026-01-23T20:4,458.085,13730
2026-01-23T20:5,457.98,21952
2026-01-26T14:3,466.77,23756
2026-01-26T14:4,467.865,26775
2026-01-26T14:5,467.85,28929
2026-01-26T15:0,468.45,55546
2026-01-26T15:1,468,15127
2026-01-26T15:2,467.81,12660
2026-01-26T15:3,467.9,17168
2026-01-26T15:4,467.02,15849
2026-01-26T15:5,467.545,6152
2026-01-26T16:0,467.95,21483
2026-01-26T16:1,468.76,16679
2026-01-26T16:2,468.58,11901
2026-01-26T16:3,466.405,16428
2026-01-26T16:4,465.95,15265
2026-01-26T16:5,467.255,4518
2026-01-26T17:0,467.9,18503
2026-01-26T17:1,467.92,5254
2026-01-26T17:2,468.07,4933
2026-01-26T17:3,467.71,6454
2026-01-26T17:4,468.02,9903
2026-01-26T17:5,468.9,9601
2026-01-26T18:0,468.86,36282
2026-01-26T18:1,467.57,7758
2026-01-26T18:2,467.595,6560
2026-01-26T18:3,467.44,7621
2026-01-26T18:4,465.86,16117
2026-01-26T18:5,466.83,11656
2026-01-26T19:0,465.9,16895
2026-01-26T19:1,465.11,6788
2026-01-26T19:2,463.435,20985
2026-01-26T19:3,462.065,8998
2026-01-26T19:4,462.72,13316
2026-01-26T19:5,461.22,7481
2026-01-26T20:0,462.29,5332
2026-01-26T20:1,462.995,5758
2026-01-26T20:2,463.98,11631
2026-01-26T20:3,464.86,17224
2026-01-26T20:4,463.38,18795
2026-01-26T20:5,463.96,39249
2026-01-27T14:3,465.2,21517
2026-01-27T14:4,466.06,19741
2026-01-27T14:5,465.48,7478
2026-01-27T15:0,464.46,8386
2026-01-27T15:1,465.14,11428
2026-01-27T15:2,466.12,3448
2026-01-27T15:3,466.22,2541
2026-01-27T15:4,467.1,4164
2026-01-27T15:5,467.625,3241
2026-01-27T16:0,468.065,7790
2026-01-27T16:1,468.13,4908
2026-01-27T16:2,468.77,3448
2026-01-27T16:3,468.595,2501
2026-01-27T16:4,468.485,1046
2026-01-27T16:5,467.82,551
2026-01-27T17:0,467.545,1809
2026-01-27T17:1,467.955,1039
2026-01-27T17:2,467.38,420
2026-01-27T17:3,467.49,296
2026-01-27T17:4,467.28,6841
2026-01-27T17:5,466.9,1997
2026-01-27T18:0,467.465,588
2026-01-27T18:1,467.06,339
2026-01-27T18:2,467.135,789
2026-01-27T18:3,467.71,702
2026-01-27T18:4,467.74,1804
2026-01-27T18:5,468.17,491
2026-01-27T19:0,467.51,3166
2026-01-27T19:1,467.38,699
2026-01-27T19:2,467.88,86
2026-01-27T19:3,467.7,1144
2026-01-27T19:4,467.89,908
2026-01-27T19:5,467.92,2209
2026-01-27T20:0,468.58,30368
2026-01-27T20:1,471.17,8672
2026-01-27T20:2,472.53,18224
2026-01-27T20:3,472.54,10589
2026-01-27T20:4,472.83,16035
2026-01-27T20:5,474.35,35204
2026-01-28T14:3,483.39,39383
2026-01-28T14:4,485.49,18757
2026-01-28T14:5,484.99,20028
2026-01-28T15:0,486.07,55234
2026-01-28T15:1,482.16,33965
2026-01-28T15:2,483.35,13336
2026-01-28T15:3,484.45,5990
2026-01-28T15:4,484.83,11193
2026-01-28T15:5,484.98,13626
2026-01-28T16:0,485.26,5324
2026-01-28T16:1,485.8,6612
2026-01-28T16:2,486.13,12748
2026-01-28T16:3,485.92,11575
2026-01-28T16:4,485.56,6948
2026-01-28T16:5,486.55,8849
2026-01-28T17:0,487.18,13328
2026-01-28T17:1,486.7,5081
2026-01-28T17:2,486.59,7275
2026-01-28T17:3,487.44,6857
2026-01-28T17:4,485.79,7466
2026-01-28T17:5,486.31,16787
2026-01-28T18:0,486.96,7880
2026-01-28T18:1,487.44,9636
2026-01-28T18:2,488.28,13998
2026-01-28T18:3,487.75,21414
2026-01-28T18:4,485.06,7303
2026-01-28T18:5,485.31,10250
2026-01-28T19:0,485.33,21420
2026-01-28T19:1,485.58,5447
2026-01-28T19:2,486.91,4317
2026-01-28T19:3,485.84,14093
2026-01-28T19:4,487.505,16092
2026-01-28T19:5,488.68,12451
2026-01-28T20:0,489.64,24602
2026-01-28T20:1,490,11206
2026-01-28T20:2,490.89,14641
2026-01-28T20:3,492.19,33610
2026-01-28T20:4,494.47,68086
2026-01-28T20:5,495.2,124476
2026-01-29T14:3,509.52,74503
2026-01-29T14:4,508.42,55487
2026-01-29T14:5,506.93,98503
2026-01-29T15:0,504.985,129188
2026-01-29T15:1,496.785,95105
2026-01-29T15:2,489.98,134417
2026-01-29T15:3,477.01,81806
