60.99,121029
60.99,0
60.99,0
60.99,0
60.99,0
60.99,0
61.78,95827
63.08,194091
63.87,83895
63.93,60388
64.38,147412
64.68,180578
65.29,102379
64.35,89612
64.65,73924
64.6,80573
64.72,183848
64.72,0
65.22,78206
65.12,64188
64.93,78864
64.13,71615
64.15,87008
64.11,147740
64.5,109727
64.27,73338
64.68,43502
64.03,38794
64.58,66783
64.37,122112
64.21,69958
65.2,64547
65.35,98445
65.82,107273
65.6,96679
65.62,217416
67.72,361059
69.26,208444
69.39,101602
69.04,76324
69.14,91522
69.62,282765
68.7,91440
69.04,72783
68.76,48880
68.87,70348
68.94,53566
69.34,153031
68.44,83098
68.86,39818
68.36,35080
68.2,29440
68.86,36217
68.83,118814
70.59,104506
70.07,75417
70.41,56366
70.2,56280
70.76,71026
70.45,157284
70.65,164014
71.07,70871
70.95,47249
71.03,81742
71.22,81471
71.44,169272
69.63,185694
69.29,113290
69.1,53726
69.19,83449
69.32,79160
69.09,154552
69,154388
68.91,125252
68.71,84166
68.82,101857
68.84,117881
68.84,274013
68.91,87092
68.84,88368
68.89,63166
68.33,76478
68.14,81331
68.23,163087
68.79,71871
69,48237
68.93,36257
68.88,116777
69.32,98428
69.34,199673
68.53,130236
67.24,106616
68.02,42614
68.09,42035
68.53,66116
68.38,120343
67.08,75631
67.79,56799
67.78,40140
67.8,28624
68.08,53976
67.82,128533
69.12,150787
68.65,104563
68.69,32439
68.7,33032
68.66,63731
68.87,242840
68.36,69997
68.05,36072
68.28,35779
68.25,29823
68.2,37748
68.15,154290
67.72,70956
67.47,64117
67.17,76314
67.23,74339
67.29,51913
67.66,119555
67.86,99787
67.69,76660
67.08,107355
66.46,59335
65.87,77664
66.57,176923
67.11,88048
67.09,81308
66.77,34433
66.96,43586
67.08,53695
66.7,146599
66.15,218553
66.29,132423
65.82,91672
65.79,126114
65.31,152041
65.39,229421
66.93,117029
67.17,95428
67.39,114651
67.43,72184
67.6,77326
67.65,156317
67.17,86568
68.28,79493
68.73,67474
67.87,50967
67.7,70180
67.82,169680
69.73,183928
68.93,190625
69.17,112199
69.44,70717
68.77,77022
68.89,197746
71.21,157677
70.1,191477
70.17,126120
70.69,54338
70.76,104107
70.24,163964
70.22,117820
70.64,89149
70.36,75305
70.5,65245
70.58,87212
70.33,142209
71.37,132305
71.7,117347
71.18,119200
71.88,124524
72.02,194382
72.58,398114
74.49,226632
74.77,361296
75,393352
74.74,257989
75.28,124135
75.18,474802
75.18,0
75.18,0
75.18,0
75.18,0
75.18,0
75.18,0
74.12,195784
74.32,450041
75.15,416578
73.7,296077
71.8,144016
72.02,301891
72.72,187513
73.72,149269
73.63,196425
73.88,205291
74.18,152454
74.01,376463
73.89,172435
74.47,155383
74.16,52185
74.5,60082
74.91,81039
74.72,146530
70.93,215709
71.67,113106
71.63,77815
71.62,88951
71.15,113381
70.83,191683
67.09,347054
67.27,169694
68.3,150356
68.27,76479
67.88,97613
67.72,220647
68.19,197014
67.18,226802
67.45,157222
67.38,168308
67.16,221604
66.67,306286
67.41,105133
67.68,83672
68.25,85575
68.31,55140
68.56,58623
68.87,132807
68.6,84688
68.35,76910
68.22,59395
68.25,65242
68.37,86682
68.24,165340
70.74,131325
71.08,140383
70.99,72152
71.28,66422
71.57,94527
71.6,163335
71.3,99659
70.96,41286
70.69,37713
71.08,98170
71.39,33405
71.2,120438
72.91,106535
72.91,44103
72.54,45297
72.44,40646
72.52,52904
72.73,93644
72.96,101571
73.08,36408
72.85,42197
72.83,32087
72.84,42963
72.34,79469
72.99,72926
73.78,74817
74.06,45540
73.93,67188
74.03,57441
73.95,94267
71.84,75766
71.92,57269
72.31,39533
72.28,46222
72.01,57626
72.12,131051
69.95,95093
70.66,70235
70.63,40611
70.62,36478
71.1,34483
71.33,165007
72.66,92705
72.98,69690
72.86,48742
72.59,46084
72.71,60084
72.79,142153
72.78,115974
73.34,86478
73.3,45039
73.25,53472
73.27,72947
72.68,233254
72.77,61271
72.46,43682
72.44,27607
72.2,55432
71.78,36033
72.23,102385
72.06,81192
71.92,55504
71.87,33144
71.65,40296
72,39677
72.29,111640
73.71,98281
72.69,57895
72.51,74845
72.66,136472
72.93,141912
72.8,228694
73.18,74665
73.4,64561
73.11,77580
73.48,86555
73.19,107712
73.13,115705
72.55,130695
72.46,86362
72.36,69589
72.86,89785
73.41,120489
73.76,277814
75.77,82858
75.57,66658
75.71,52757
75.78,54432
75.71,65168
75.71,166917
73.6,80166
73.78,48498
73.39,40565
72.93,34452
73.09,43217
73.63,132583
75.02,82906
75.14,46273
75.43,65016
75.49,64528
74.98,44120
74.83,84502
74.99,64157
74.93,54263
75.2,54839
75.3,56636
75.43,31881
75.45,108779
76.14,67884
75.94,46033
76.05,48332
76.42,52284
76.82,65263
76.84,116233
77.22,74665
76.79,39180
76.75,34366
77.32,37762
77.21,40999
77.11,97532
77.16,64831
76.65,86208
76.31,27125
76.59,25239
76.7,43273
76.52,89944
76.43,106141
76.69,47270
76.29,37536
76.76,28603
77.12,36369
76.45,145504
77.77,68177
77.58,51405
77.94,74661
76.95,81476
76.45,94947
75.98,123286
76.4,59792
75.59,76922
74.83,39248
74.98,42877
74.47,62663
74.27,160550
70.59,169011
69.76,147479
69.62,92951
69.97,93452
70.14,70293
71.53,155946
72.08,72387
72.52,90708
73.01,56310
73.33,91327
72.77,65058
72.25,131488
72.72,169462
73.08,116315
73.87,68061
74.31,60001
74.33,98612
74.01,167129
73.65,105335
74.51,108149
74.77,78383
75.4,73114
75.88,135966
76.21,260119
76.21,84723
75.52,101350
75.47,71757
75.02,73199
75.16,138072
74.47,293654
74.72,214844
74.59,127386
74.9,107341
74.57,101471
74.32,133676
74.22,277363
75.77,81719
76.65,106672
77.06,70458
77.13,67812
76.96,86448
76.96,184315
78.04,132144
78.04,67311
78.18,69563
78.2,76040
78.32,256498
79.19,256711
79.98,167322
79.27,119916
77.38,107705
78.61,95739
78.76,120324
78.68,277847
78.2,113069
79.1,132644
78.55,100488
79.44,94573
79.19,108146
79.27,198641
76.43,129521
75.06,109943
75.52,86292
74.69,99290
74.17,107858
74.03,288442
74.76,154440
74.94,157247
73.64,156321
73.01,175580
74.05,102800
74,203611
76.31,209723
76.95,168631
77.16,115683
76.29,69654
75.68,109737
76.28,175663
74.02,160564
75.08,77244
74.8,78395
75.13,90762
74.87,73016
74.74,201141
76.96,71293
77.61,44752
77.79,59540
78.21,41397
77.58,50421
78.18,213187
80.15,116652
79.89,71605
80.13,71144
80.5,67587
80.64,69881
80.77,180897
81.23,81895
80.83,57820
80.53,47505
81.07,61739
80.91,272334
80.9,216849
81.02,153867
81.33,143758
80.27,103768
80.57,95498
79.91,75775
79.39,136019
78.9,132574
78.89,79868
80.07,69584
80.08,94130
80.55,76294
81.08,147499
82.3,75167
80.61,66632
80.47,73897
80.24,35180
79.95,65732
80.33,115625
82.35,127916
82.86,62253
83.03,51312
82.48,55738
82.76,50421
82.77,150970
82.77,94234
82.04,76723
82.03,57526
82.17,50611
82.55,68140
82.8,195084
84.77,107981
84.52,58650
83.88,41542
84.28,30346
84.49,71404
84.63,129606
85.45,81905
85.4,82264
85.52,55269
85.31,50061
85.08,47472
85.2,117348
85.27,124697
85.41,178235
85.79,138865
86,192095
86.06,158156
86.04,122805
87.28,86192
87.37,82286
87.05,38409
87.05,66741
86.5,171019
85.05,261038
85.96,70857
86.01,66483
85.57,44479
86.12,131084
86.45,63124
86.12,115562
85.49,73140
85.87,50534
86.1,46051
86.2,32419
85.61,47799
85.32,54647
87.59,66924
87.02,40087
86.97,25727
87.35,33391
86.94,39401
87.45,78538
87.26,44758
87.47,56703
87.72,45376
87.53,26665
87.69,37479
87.21,98975
89.77,85032
89.52,67359
90.18,69286
90.62,58343
90.57,67610
90.58,137601
92.13,82986
92.25,41855
92.71,88532
92.59,97380
92.01,52597
91.83,104220
91.53,147276
91.54,68575
91.28,78436
91.89,33224
91.91,83829
91.68,298358
90.93,110296
89.04,75659
88.87,53631
88.03,44590
88.16,62931
88.81,189680
84.42,227703
83.22,114745
84.83,111502
84.66,70025
85.33,79811
84.92,366595
86.36,111680
86.49,116589
86.17,71195
85.63,125119
85.01,144219
84.44,331630
84.67,117507
83.66,76631
84.01,60364
83.7,59179
83.69,315299
83.12,338094
81.05,195716
81.01,144930
81.4,106645
81.16,109160
80.2,184978
79.94,360511
79.57,194050
76.56,181089
76.25,114532
75.71,120585
75.96,145682
76.56,345398
79.77,108363
80.67,129759
79.8,103481
81.16,38720
